[2025-03-02 22:44:51] Application started.
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22180
[2025-03-02 22:53:01] Pointer2 address: 0x
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22460
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22740
[2025-03-02 22:53:01] Pointer2 address: 0x
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B7830
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22A20
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B7F10
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B78D0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22D00
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C6B75B0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000004EBD6C0
[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A22FE0
[2025-03-02 22:53:01] Pointer2 address: 0x[2025-03-02 22:53:01] Pointer1 address: 0x0000000017A232C0
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E7636B0
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E763770
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C693570
[2025-03-02 22:53:01] Pointer1 address: 0x000000004E763830
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C691A90
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C68EF70
[2025-03-02 22:53:01] Pointer1 address: 0x000000007C690D70
[2025-03-02 22:57:50] Application started.
[2025-03-02 22:57:56] Pointer1 address: 0x00000000859D0320
[2025-03-02 22:58:59] Application started.
[2025-03-02 23:23:23] Application started.
[2025-03-02 23:23:58] Application started.
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CDD8A0
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250F200
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:24:03] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:24:03] Pointer1 address: 0x000000007B27F5E0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000004D9AAF0
[2025-03-02 23:24:03] Pointer1 address: 0x0000000022510060
[2025-03-02 23:24:03] Pointer1 address: 0x0000000022510340
[2025-03-02 23:24:03] Pointer1 address: 0x000000005CFBF1E0
[2025-03-02 23:24:03] Pointer1 address: 0x000000005CFBF2A0
[2025-03-02 23:24:03] Pointer1 address: 0x000000007B2804E0
[2025-03-02 23:24:03] Pointer1 address: 0x000000005CFBF360
[2025-03-02 23:24:03] Pointer1 address: 0x000000007B283280
[2025-03-02 23:24:03] Pointer1 address: 0x000000007B2831E0
[2025-03-02 23:24:03] Pointer1 address: 0x000000007B283140
[2025-03-02 23:28:42] Application started.
[2025-03-02 23:28:43] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:28:43] Pointer1 address: 0x0000000059CDD8A0
[2025-03-02 23:28:43] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:28:43] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:28:43] Pointer1 address: 0x000000002250F200
[2025-03-02 23:28:43] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:28:45] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:28:45] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:28:45] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:28:45] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:28:45] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:28:45] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:28:45] Pointer1 address: 0x000000007B27F5E0
[2025-03-02 23:28:45] Pointer1 address: 0x0000000004D9AAF0
[2025-03-02 23:28:45] Pointer1 address: 0x0000000022510060
[2025-03-02 23:28:46] Pointer1 address: 0x0000000022510340
[2025-03-02 23:28:47] Pointer1 address: 0x000000005CFBF1E0
[2025-03-02 23:28:47] Pointer1 address: 0x000000005CFBF2A0
[2025-03-02 23:28:47] Pointer1 address: 0x000000007B2804E0
[2025-03-02 23:28:47] Pointer1 address: 0x000000005CFBF360
[2025-03-02 23:28:47] Pointer1 address: 0x000000007B283280
[2025-03-02 23:28:47] Pointer1 address: 0x000000007B2831E0
[2025-03-02 23:28:47] Pointer1 address: 0x000000007B283140
